state,year,milk_produced
Nevada,1994,413000000
Washington,1994,5203000000
Oregon,1994,1714000000
California,1994,25234000000
Alaska,1994,13000000
Hawaii,1994,139000000
Maine,1995,641000000
New Hampshire,1995,326000000
Vermont,1995,2545000000
Massachusetts,1995,448000000
Rhode Island,1995,33000000
Connecticut,1995,526000000
New York,1995,11600000000
New Jersey,1995,320000000
Pennsylvania,1995,10489000000
Delaware,1995,145000000
Maryland,1995,1340000000
Michigan,1995,5565000000
Wisconsin,1995,22942000000
Minnesota,1995,9409000000
Ohio,1995,4600000000
Indiana,1995,2214000000
Illinois,1995,2399000000
Iowa,1995,4047000000
Missouri,1995,2690000000
North Dakota,1995,838000000
South Dakota,1995,1581000000
Nebraska,1995,1095000000
Kansas,1995,1180000000
Virginia,1995,1950000000
West Virginia,1995,266000000
North Carolina,1995,1403000000
Kentucky,1995,2020000000
